Type,Entry Time,Exit Time,Signal,Entry Price,Exit Price,Points,PnL INR,Net PnL %,Cumulative PnL INR,Cumulative PnL %,Holding Time
SHORT,2021-10-06 13:05:00+05:30,2021-10-07 09:15:00+05:30,SHORT,37852.0,37830.4,21.6,648.0,0.43,1389084.0,926.06,0 days 20:10:00
LONG,2021-10-07 09:15:00+05:30,2021-10-08 12:20:00+05:30,LONG,37830.4,37738.0,-92.4,-2772.0,-1.85,1386312.0,924.21,1 days 03:05:00
SHORT,2021-10-08 12:20:00+05:30,2021-10-11 09:15:00+05:30,SHORT,37738.0,37948.1,-210.1,-6303.0,-4.2,1380009.0,920.01,2 days 20:55:00
LONG,2021-10-11 09:15:00+05:30,2021-10-12 09:30:00+05:30,LONG,37948.1,38218.55,270.45,8113.5,5.41,1388122.5,925.42,1 days 00:15:00
SHORT,2021-10-12 09:30:00+05:30,2021-10-12 14:05:00+05:30,SHORT,38218.55,38448.5,-229.95,-6898.5,-4.6,1381224.0,920.82,0 days 04:35:00
LONG,2021-10-12 14:05:00+05:30,2021-10-13 15:25:00+05:30,LONG,38448.5,38584.25,135.75,4072.5,2.72,1385296.5,923.53,1 days 01:20:00
SHORT,2021-10-13 15:25:00+05:30,2021-10-14 09:25:00+05:30,SHORT,38584.25,38782.7,-198.45,-5953.5,-3.97,1379343.0,919.56,0 days 18:00:00
LONG,2021-10-14 09:25:00+05:30,2021-10-18 13:15:00+05:30,LONG,38782.7,39674.95,892.25,26767.5,17.84,1406110.5,937.41,4 days 03:50:00
SHORT,2021-10-18 13:15:00+05:30,2021-10-19 09:15:00+05:30,SHORT,39674.95,39927.1,-252.15,-7564.5,-5.04,1398546.0,932.36,0 days 20:00:00
LONG,2021-10-19 09:15:00+05:30,2021-10-19 10:05:00+05:30,LONG,39927.1,39414.75,-512.35,-15370.5,-10.25,1383175.5,922.12,0 days 00:50:00
SHORT,2021-10-19 10:05:00+05:30,2021-10-21 09:15:00+05:30,SHORT,39414.75,39711.9,-297.15,-8914.5,-5.94,1374261.0,916.17,1 days 23:10:00
LONG,2021-10-21 09:15:00+05:30,2021-10-22 13:00:00+05:30,LONG,39711.9,40243.25,531.35,15940.5,10.63,1390201.5,926.8,1 days 03:45:00
SHORT,2021-10-22 13:00:00+05:30,2021-10-25 09:15:00+05:30,SHORT,40243.25,40713.9,-470.65,-14119.5,-9.41,1376082.0,917.39,2 days 20:15:00
LONG,2021-10-25 09:15:00+05:30,2021-10-25 14:10:00+05:30,LONG,40713.9,41145.95,432.05,12961.5,8.64,1389043.5,926.03,0 days 04:55:00
SHORT,2021-10-25 14:10:00+05:30,2021-10-26 12:00:00+05:30,SHORT,41145.95,41218.15,-72.2,-2166.0,-1.44,1386877.5,924.58,0 days 21:50:00
LONG,2021-10-26 12:00:00+05:30,2021-10-27 14:15:00+05:30,LONG,41218.15,40999.2,-218.95,-6568.5,-4.38,1380309.0,920.21,1 days 02:15:00
SHORT,2021-10-27 14:15:00+05:30,2021-10-29 10:10:00+05:30,SHORT,40999.2,39586.85,1412.35,42370.5,28.25,1422679.5,948.45,1 days 19:55:00
LONG,2021-10-29 10:10:00+05:30,2021-10-29 13:15:00+05:30,LONG,39586.85,39137.3,-449.55,-13486.5,-8.99,1409193.0,939.46,0 days 03:05:00
SHORT,2021-10-29 13:15:00+05:30,2021-10-29 15:25:00+05:30,SHORT,39137.3,39270.55,-133.25,-3997.5,-2.66,1405195.5,936.8,0 days 02:10:00
LONG,2021-10-29 15:25:00+05:30,2021-11-03 11:45:00+05:30,LONG,39270.55,39857.35,586.8,17604.0,11.74,1422799.5,948.53,4 days 20:20:00
SHORT,2021-11-03 11:45:00+05:30,2021-11-03 13:55:00+05:30,SHORT,39857.35,39847.1,10.25,307.5,0.2,1423107.0,948.74,0 days 02:10:00
LONG,2021-11-03 13:55:00+05:30,2021-11-03 14:25:00+05:30,LONG,39847.1,39462.45,-384.65,-11539.5,-7.69,1411567.5,941.04,0 days 00:30:00
SHORT,2021-11-03 14:25:00+05:30,2021-11-08 12:50:00+05:30,SHORT,39462.45,39281.8,180.65,5419.5,3.61,1416987.0,944.66,4 days 22:25:00
LONG,2021-11-08 12:50:00+05:30,2021-11-09 13:45:00+05:30,LONG,39281.8,39273.45,-8.35,-250.5,-0.17,1416736.5,944.49,1 days 00:55:00
SHORT,2021-11-09 13:45:00+05:30,2021-11-10 13:50:00+05:30,SHORT,39273.45,39137.9,135.55,4066.5,2.71,1420803.0,947.2,1 days 00:05:00
LONG,2021-11-10 13:50:00+05:30,2021-11-10 14:40:00+05:30,LONG,39137.9,38978.6,-159.3,-4779.0,-3.19,1416024.0,944.02,0 days 00:50:00
SHORT,2021-11-10 14:40:00+05:30,2021-11-12 09:15:00+05:30,SHORT,38978.6,38718.55,260.05,7801.5,5.2,1423825.5,949.22,1 days 18:35:00
LONG,2021-11-12 09:15:00+05:30,2021-11-15 11:20:00+05:30,LONG,38718.55,38803.25,84.7,2541.0,1.69,1426366.5,950.91,3 days 02:05:00
SHORT,2021-11-15 11:20:00+05:30,2021-11-16 13:15:00+05:30,SHORT,38803.25,38534.85,268.4,8052.0,5.37,1434418.5,956.28,1 days 01:55:00
LONG,2021-11-16 13:15:00+05:30,2021-11-16 14:10:00+05:30,LONG,38534.85,38388.3,-146.55,-4396.5,-2.93,1430022.0,953.35,0 days 00:55:00
SHORT,2021-11-16 14:10:00+05:30,2021-11-17 10:00:00+05:30,SHORT,38388.3,38353.5,34.8,1044.0,0.7,1431066.0,954.04,0 days 19:50:00
LONG,2021-11-17 10:00:00+05:30,2021-11-17 12:00:00+05:30,LONG,38353.5,38192.0,-161.5,-4845.0,-3.23,1426221.0,950.81,0 days 02:00:00
SHORT,2021-11-17 12:00:00+05:30,2021-11-18 09:15:00+05:30,SHORT,38192.0,38198.7,-6.7,-201.0,-0.13,1426020.0,950.68,0 days 21:15:00
LONG,2021-11-18 09:15:00+05:30,2021-11-18 10:15:00+05:30,LONG,38198.7,37905.15,-293.55,-8806.5,-5.87,1417213.5,944.81,0 days 01:00:00
SHORT,2021-11-18 10:15:00+05:30,2021-11-18 14:55:00+05:30,SHORT,37905.15,38093.55,-188.4,-5652.0,-3.77,1411561.5,941.04,0 days 04:40:00
LONG,2021-11-18 14:55:00+05:30,2021-11-22 09:25:00+05:30,LONG,38093.55,37700.6,-392.95,-11788.5,-7.86,1399773.0,933.18,3 days 18:30:00
SHORT,2021-11-22 09:25:00+05:30,2021-11-22 15:05:00+05:30,SHORT,37700.6,37100.4,600.2,18006.0,12.0,1417779.0,945.19,0 days 05:40:00
LONG,2021-11-22 15:05:00+05:30,2021-11-23 09:15:00+05:30,LONG,37100.4,36757.2,-343.2,-10296.0,-6.86,1407483.0,938.32,0 days 18:10:00
SHORT,2021-11-23 09:15:00+05:30,2021-11-23 12:05:00+05:30,SHORT,36757.2,37273.75,-516.55,-15496.5,-10.33,1391986.5,927.99,0 days 02:50:00
LONG,2021-11-23 12:05:00+05:30,2021-11-24 14:10:00+05:30,LONG,37273.75,37652.6,378.85,11365.5,7.58,1403352.0,935.57,1 days 02:05:00
SHORT,2021-11-24 14:10:00+05:30,2021-11-25 11:15:00+05:30,SHORT,37652.6,37443.55,209.05,6271.5,4.18,1409623.5,939.75,0 days 21:05:00
LONG,2021-11-25 11:15:00+05:30,2021-11-26 09:15:00+05:30,LONG,37443.55,36780.7,-662.85,-19885.5,-13.26,1389738.0,926.49,0 days 22:00:00
SHORT,2021-11-26 09:15:00+05:30,2021-11-29 11:25:00+05:30,SHORT,36780.7,36090.15,690.55,20716.5,13.81,1410454.5,940.3,3 days 02:10:00
LONG,2021-11-29 11:25:00+05:30,2021-11-30 11:05:00+05:30,LONG,36090.15,36339.15,249.0,7470.0,4.98,1417924.5,945.28,0 days 23:40:00
SHORT,2021-11-30 11:05:00+05:30,2021-12-01 09:15:00+05:30,SHORT,36339.15,36108.0,231.15,6934.5,4.62,1424859.0,949.91,0 days 22:10:00
LONG,2021-12-01 09:15:00+05:30,2021-12-03 12:30:00+05:30,LONG,36108.0,36499.25,391.25,11737.5,7.82,1436596.5,957.73,2 days 03:15:00
SHORT,2021-12-03 12:30:00+05:30,2021-12-07 09:15:00+05:30,SHORT,36499.25,36167.55,331.7,9951.0,6.63,1446547.5,964.36,3 days 20:45:00
LONG,2021-12-07 09:15:00+05:30,2021-12-07 15:05:00+05:30,LONG,36167.55,36573.95,406.4,12192.0,8.13,1458739.5,972.49,0 days 05:50:00
SHORT,2021-12-07 15:05:00+05:30,2021-12-08 09:15:00+05:30,SHORT,36573.95,37031.0,-457.05,-13711.5,-9.14,1445028.0,963.35,0 days 18:10:00
LONG,2021-12-08 09:15:00+05:30,2021-12-09 09:25:00+05:30,LONG,37031.0,37085.0,54.0,1620.0,1.08,1446648.0,964.43,1 days 00:10:00
SHORT,2021-12-09 09:25:00+05:30,2021-12-09 12:35:00+05:30,SHORT,37085.0,37171.65,-86.65,-2599.5,-1.73,1444048.5,962.7,0 days 03:10:00
LONG,2021-12-09 12:35:00+05:30,2021-12-09 14:15:00+05:30,LONG,37171.65,37038.5,-133.15,-3994.5,-2.66,1440054.0,960.04,0 days 01:40:00
SHORT,2021-12-09 14:15:00+05:30,2021-12-10 14:40:00+05:30,SHORT,37038.5,37055.95,-17.45,-523.5,-0.35,1439530.5,959.69,1 days 00:25:00
LONG,2021-12-10 14:40:00+05:30,2021-12-13 12:20:00+05:30,LONG,37055.95,37270.55,214.6,6438.0,4.29,1445968.5,963.98,2 days 21:40:00
SHORT,2021-12-13 12:20:00+05:30,2021-12-14 11:50:00+05:30,SHORT,37270.55,36817.5,453.05,13591.5,9.06,1459560.0,973.04,0 days 23:30:00
LONG,2021-12-14 11:50:00+05:30,2021-12-15 15:00:00+05:30,LONG,36817.5,36840.4,22.9,687.0,0.46,1460247.0,973.5,1 days 03:10:00
SHORT,2021-12-15 15:00:00+05:30,2021-12-16 09:15:00+05:30,SHORT,36840.4,37038.3,-197.9,-5937.0,-3.96,1454310.0,969.54,0 days 18:15:00
LONG,2021-12-16 09:15:00+05:30,2021-12-16 11:20:00+05:30,LONG,37038.3,36679.7,-358.6,-10758.0,-7.17,1443552.0,962.37,0 days 02:05:00
SHORT,2021-12-16 11:20:00+05:30,2021-12-20 14:15:00+05:30,SHORT,36679.7,34384.95,2294.75,68842.5,45.9,1512394.5,1008.26,4 days 02:55:00
LONG,2021-12-20 14:15:00+05:30,2021-12-21 14:00:00+05:30,LONG,34384.95,34732.45,347.5,10425.0,6.95,1522819.5,1015.21,0 days 23:45:00
SHORT,2021-12-21 14:00:00+05:30,2021-12-22 09:15:00+05:30,SHORT,34732.45,34965.45,-233.0,-6990.0,-4.66,1515829.5,1010.55,0 days 19:15:00
LONG,2021-12-22 09:15:00+05:30,2021-12-23 13:45:00+05:30,LONG,34965.45,35270.05,304.6,9138.0,6.09,1524967.5,1016.64,1 days 04:30:00
SHORT,2021-12-23 13:45:00+05:30,2021-12-24 13:35:00+05:30,SHORT,35270.05,34896.4,373.65,11209.5,7.47,1536177.0,1024.12,0 days 23:50:00
LONG,2021-12-24 13:35:00+05:30,2021-12-27 09:15:00+05:30,LONG,34896.4,34322.4,-574.0,-17220.0,-11.48,1518957.0,1012.64,2 days 19:40:00
SHORT,2021-12-27 09:15:00+05:30,2021-12-27 11:45:00+05:30,SHORT,34322.4,34827.4,-505.0,-15150.0,-10.1,1503807.0,1002.54,0 days 02:30:00
LONG,2021-12-27 11:45:00+05:30,2021-12-28 14:45:00+05:30,LONG,34827.4,35094.9,267.5,8025.0,5.35,1511832.0,1007.89,1 days 03:00:00
SHORT,2021-12-28 14:45:00+05:30,2021-12-29 09:30:00+05:30,SHORT,35094.9,35319.25,-224.35,-6730.5,-4.49,1505101.5,1003.4,0 days 18:45:00
LONG,2021-12-29 09:30:00+05:30,2021-12-29 11:05:00+05:30,LONG,35319.25,35121.5,-197.75,-5932.5,-3.96,1499169.0,999.45,0 days 01:35:00
SHORT,2021-12-29 11:05:00+05:30,2021-12-30 12:50:00+05:30,SHORT,35121.5,35013.9,107.6,3228.0,2.15,1502397.0,1001.6,1 days 01:45:00
LONG,2021-12-30 12:50:00+05:30,2022-01-04 13:35:00+05:30,LONG,35013.9,36613.5,1599.6,47988.0,31.99,1550385.0,1033.59,5 days 00:45:00
SHORT,2022-01-04 13:35:00+05:30,2022-01-04 14:20:00+05:30,SHORT,36613.5,36761.85,-148.35,-4450.5,-2.97,1545934.5,1030.62,0 days 00:45:00
LONG,2022-01-04 14:20:00+05:30,2022-01-06 09:15:00+05:30,LONG,36761.85,37249.8,487.95,14638.5,9.76,1560573.0,1040.38,1 days 18:55:00
SHORT,2022-01-06 09:15:00+05:30,2022-01-06 13:30:00+05:30,SHORT,37249.8,37442.7,-192.9,-5787.0,-3.86,1554786.0,1036.52,0 days 04:15:00
LONG,2022-01-06 13:30:00+05:30,2022-01-07 11:45:00+05:30,LONG,37442.7,37767.95,325.25,9757.5,6.5,1564543.5,1043.03,0 days 22:15:00
SHORT,2022-01-07 11:45:00+05:30,2022-01-07 15:20:00+05:30,SHORT,37767.95,37802.3,-34.35,-1030.5,-0.69,1563513.0,1042.34,0 days 03:35:00
LONG,2022-01-07 15:20:00+05:30,2022-01-11 09:35:00+05:30,LONG,37802.3,38165.2,362.9,10887.0,7.26,1574400.0,1049.6,3 days 18:15:00
SHORT,2022-01-11 09:35:00+05:30,2022-01-11 11:20:00+05:30,SHORT,38165.2,38339.05,-173.85,-5215.5,-3.48,1569184.5,1046.12,0 days 01:45:00
LONG,2022-01-11 11:20:00+05:30,2022-01-11 14:40:00+05:30,LONG,38339.05,38331.2,-7.85,-235.5,-0.16,1568949.0,1045.97,0 days 03:20:00
SHORT,2022-01-11 14:40:00+05:30,2022-01-12 09:15:00+05:30,SHORT,38331.2,38723.05,-391.85,-11755.5,-7.84,1557193.5,1038.13,0 days 18:35:00
LONG,2022-01-12 09:15:00+05:30,2022-01-12 13:55:00+05:30,LONG,38723.05,38672.3,-50.75,-1522.5,-1.01,1555671.0,1037.11,0 days 04:40:00
SHORT,2022-01-12 13:55:00+05:30,2022-01-14 13:25:00+05:30,SHORT,38672.3,38220.15,452.15,13564.5,9.04,1569235.5,1046.16,1 days 23:30:00
LONG,2022-01-14 13:25:00+05:30,2022-01-17 12:05:00+05:30,LONG,38220.15,38247.6,27.45,823.5,0.55,1570059.0,1046.71,2 days 22:40:00
SHORT,2022-01-17 12:05:00+05:30,2022-01-18 09:15:00+05:30,SHORT,38247.6,38338.55,-90.95,-2728.5,-1.82,1567330.5,1044.89,0 days 21:10:00
LONG,2022-01-18 09:15:00+05:30,2022-01-18 14:35:00+05:30,LONG,38338.55,38612.85,274.3,8229.0,5.49,1575559.5,1050.37,0 days 05:20:00
SHORT,2022-01-18 14:35:00+05:30,2022-01-19 14:40:00+05:30,SHORT,38612.85,38110.1,502.75,15082.5,10.06,1590642.0,1060.43,1 days 00:05:00
LONG,2022-01-19 14:40:00+05:30,2022-01-20 13:20:00+05:30,LONG,38110.1,37847.15,-262.95,-7888.5,-5.26,1582753.5,1055.17,0 days 22:40:00
SHORT,2022-01-20 13:20:00+05:30,2022-01-20 15:25:00+05:30,SHORT,37847.15,37908.65,-61.5,-1845.0,-1.23,1580908.5,1053.94,0 days 02:05:00
LONG,2022-01-20 15:25:00+05:30,2022-01-21 09:15:00+05:30,LONG,37908.65,37414.0,-494.65,-14839.5,-9.89,1566069.0,1044.05,0 days 17:50:00
SHORT,2022-01-21 09:15:00+05:30,2022-01-21 12:25:00+05:30,SHORT,37414.0,37641.4,-227.4,-6822.0,-4.55,1559247.0,1039.5,0 days 03:10:00
LONG,2022-01-21 12:25:00+05:30,2022-01-21 14:35:00+05:30,LONG,37641.4,37377.5,-263.9,-7917.0,-5.28,1551330.0,1034.22,0 days 02:10:00
SHORT,2022-01-21 14:35:00+05:30,2022-01-21 15:15:00+05:30,SHORT,37377.5,37630.25,-252.75,-7582.5,-5.06,1543747.5,1029.16,0 days 00:40:00
LONG,2022-01-21 15:15:00+05:30,2022-01-24 11:15:00+05:30,LONG,37630.25,37317.3,-312.95,-9388.5,-6.26,1534359.0,1022.91,2 days 20:00:00
SHORT,2022-01-24 11:15:00+05:30,2022-01-24 15:05:00+05:30,SHORT,37317.3,36946.7,370.6,11118.0,7.41,1545477.0,1030.32,0 days 03:50:00
LONG,2022-01-24 15:05:00+05:30,2022-01-27 09:15:00+05:30,LONG,36946.7,37096.9,150.2,4506.0,3.0,1549983.0,1033.32,2 days 18:10:00
SHORT,2022-01-27 09:15:00+05:30,2022-01-27 12:50:00+05:30,SHORT,37096.9,37322.4,-225.5,-6765.0,-4.51,1543218.0,1028.81,0 days 03:35:00
LONG,2022-01-27 12:50:00+05:30,2022-01-28 13:40:00+05:30,LONG,37322.4,38133.4,811.0,24330.0,16.22,1567548.0,1045.03,1 days 00:50:00
SHORT,2022-01-28 13:40:00+05:30,2022-01-31 09:15:00+05:30,SHORT,38133.4,38158.85,-25.45,-763.5,-0.51,1566784.5,1044.52,2 days 19:35:00
LONG,2022-01-31 09:15:00+05:30,2022-02-01 11:30:00+05:30,LONG,38158.85,38443.55,284.7,8541.0,5.69,1575325.5,1050.22,1 days 02:15:00
SHORT,2022-02-01 11:30:00+05:30,2022-02-02 09:15:00+05:30,SHORT,38443.55,38950.0,-506.45,-15193.5,-10.13,1560132.0,1040.09,0 days 21:45:00
LONG,2022-02-02 09:15:00+05:30,2022-02-03 13:40:00+05:30,LONG,38950.0,39153.95,203.95,6118.5,4.08,1566250.5,1044.17,1 days 04:25:00
SHORT,2022-02-03 13:40:00+05:30,2022-02-04 09:20:00+05:30,SHORT,39153.95,39165.9,-11.95,-358.5,-0.24,1565892.0,1043.93,0 days 19:40:00
LONG,2022-02-04 09:20:00+05:30,2022-02-04 11:40:00+05:30,LONG,39165.9,38875.95,-289.95,-8698.5,-5.8,1557193.5,1038.13,0 days 02:20:00
SHORT,2022-02-04 11:40:00+05:30,2022-02-04 13:55:00+05:30,SHORT,38875.95,38884.1,-8.15,-244.5,-0.16,1556949.0,1037.97,0 days 02:15:00
LONG,2022-02-04 13:55:00+05:30,2022-02-07 09:35:00+05:30,LONG,38884.1,38558.3,-325.8,-9774.0,-6.52,1547175.0,1031.45,2 days 19:40:00
SHORT,2022-02-07 09:35:00+05:30,2022-02-08 12:00:00+05:30,SHORT,38558.3,37774.05,784.25,23527.5,15.68,1570702.5,1047.14,1 days 02:25:00
LONG,2022-02-08 12:00:00+05:30,2022-02-08 13:05:00+05:30,LONG,37774.05,37670.1,-103.95,-3118.5,-2.08,1567584.0,1045.06,0 days 01:05:00
SHORT,2022-02-08 13:05:00+05:30,2022-02-08 15:00:00+05:30,SHORT,37670.1,38060.4,-390.3,-11709.0,-7.81,1555875.0,1037.25,0 days 01:55:00
LONG,2022-02-08 15:00:00+05:30,2022-02-10 15:20:00+05:30,LONG,38060.4,38958.25,897.85,26935.5,17.96,1582810.5,1055.21,2 days 00:20:00
SHORT,2022-02-10 15:20:00+05:30,2022-02-11 13:20:00+05:30,SHORT,38958.25,38729.5,228.75,6862.5,4.58,1589673.0,1059.78,0 days 22:00:00
LONG,2022-02-11 13:20:00+05:30,2022-02-11 14:20:00+05:30,LONG,38729.5,38551.6,-177.9,-5337.0,-3.56,1584336.0,1056.22,0 days 01:00:00
SHORT,2022-02-11 14:20:00+05:30,2022-02-15 11:30:00+05:30,SHORT,38551.6,37072.5,1479.1,44373.0,29.58,1628709.0,1085.81,3 days 21:10:00
LONG,2022-02-15 11:30:00+05:30,2022-02-16 10:50:00+05:30,LONG,37072.5,37871.2,798.7,23961.0,15.97,1652670.0,1101.78,0 days 23:20:00
SHORT,2022-02-16 10:50:00+05:30,2022-02-16 12:30:00+05:30,SHORT,37871.2,38161.15,-289.95,-8698.5,-5.8,1643971.5,1095.98,0 days 01:40:00
LONG,2022-02-16 12:30:00+05:30,2022-02-16 14:40:00+05:30,LONG,38161.15,38096.7,-64.45,-1933.5,-1.29,1642038.0,1094.69,0 days 02:10:00
SHORT,2022-02-16 14:40:00+05:30,2022-02-18 12:15:00+05:30,SHORT,38096.7,37721.45,375.25,11257.5,7.51,1653295.5,1102.2,1 days 21:35:00
LONG,2022-02-18 12:15:00+05:30,2022-02-18 14:15:00+05:30,LONG,37721.45,37582.9,-138.55,-4156.5,-2.77,1649139.0,1099.43,0 days 02:00:00
SHORT,2022-02-18 14:15:00+05:30,2022-02-21 10:35:00+05:30,SHORT,37582.9,37585.35,-2.45,-73.5,-0.05,1649065.5,1099.38,2 days 20:20:00
LONG,2022-02-21 10:35:00+05:30,2022-02-21 14:05:00+05:30,LONG,37585.35,37775.15,189.8,5694.0,3.8,1654759.5,1103.17,0 days 03:30:00
SHORT,2022-02-21 14:05:00+05:30,2022-02-22 14:00:00+05:30,SHORT,37775.15,37450.3,324.85,9745.5,6.5,1664505.0,1109.67,0 days 23:55:00
LONG,2022-02-22 14:00:00+05:30,2022-02-23 15:05:00+05:30,LONG,37450.3,37412.05,-38.25,-1147.5,-0.76,1663357.5,1108.9,1 days 01:05:00
SHORT,2022-02-23 15:05:00+05:30,2022-02-25 09:15:00+05:30,SHORT,37412.05,36071.3,1340.75,40222.5,26.82,1703580.0,1135.72,1 days 18:10:00
LONG,2022-02-25 09:15:00+05:30,2022-02-28 09:15:00+05:30,LONG,36071.3,35862.55,-208.75,-6262.5,-4.18,1697317.5,1131.54,3 days 00:00:00
SHORT,2022-02-28 09:15:00+05:30,2022-02-28 11:50:00+05:30,SHORT,35862.55,36106.25,-243.7,-7311.0,-4.87,1690006.5,1126.67,0 days 02:35:00
LONG,2022-02-28 11:50:00+05:30,2022-03-02 09:15:00+05:30,LONG,36106.25,35310.05,-796.2,-23886.0,-15.92,1666120.5,1110.75,1 days 21:25:00
SHORT,2022-03-02 09:15:00+05:30,2022-03-02 15:00:00+05:30,SHORT,35310.05,35245.6,64.45,1933.5,1.29,1668054.0,1112.04,0 days 05:45:00
LONG,2022-03-02 15:00:00+05:30,2022-03-03 10:05:00+05:30,LONG,35245.6,35233.35,-12.25,-367.5,-0.24,1667686.5,1111.79,0 days 19:05:00
SHORT,2022-03-03 10:05:00+05:30,2022-03-04 12:35:00+05:30,SHORT,35233.35,34592.6,640.75,19222.5,12.81,1686909.0,1124.61,1 days 02:30:00
LONG,2022-03-04 12:35:00+05:30,2022-03-04 14:35:00+05:30,LONG,34592.6,34567.5,-25.1,-753.0,-0.5,1686156.0,1124.1,0 days 02:00:00
SHORT,2022-03-04 14:35:00+05:30,2022-03-07 15:10:00+05:30,SHORT,34567.5,32896.15,1671.35,50140.5,33.43,1736296.5,1157.53,3 days 00:35:00
LONG,2022-03-07 15:10:00+05:30,2022-03-08 09:15:00+05:30,LONG,32896.15,32525.5,-370.65,-11119.5,-7.41,1725177.0,1150.12,0 days 18:05:00
SHORT,2022-03-08 09:15:00+05:30,2022-03-08 13:55:00+05:30,SHORT,32525.5,32593.6,-68.1,-2043.0,-1.36,1723134.0,1148.76,0 days 04:40:00
LONG,2022-03-08 13:55:00+05:30,2022-03-10 12:40:00+05:30,LONG,32593.6,34942.45,2348.85,70465.5,46.98,1793599.5,1195.73,1 days 22:45:00
SHORT,2022-03-10 12:40:00+05:30,2022-03-11 09:50:00+05:30,SHORT,34942.45,34808.5,133.95,4018.5,2.68,1797618.0,1198.41,0 days 21:10:00
LONG,2022-03-11 09:50:00+05:30,2022-03-15 12:40:00+05:30,LONG,34808.5,35300.6,492.1,14763.0,9.84,1812381.0,1208.25,4 days 02:50:00
SHORT,2022-03-15 12:40:00+05:30,2022-03-15 14:55:00+05:30,SHORT,35300.6,35164.3,136.3,4089.0,2.73,1816470.0,1210.98,0 days 02:15:00
LONG,2022-03-15 14:55:00+05:30,2022-03-17 15:10:00+05:30,LONG,35164.3,36407.25,1242.95,37288.5,24.86,1853758.5,1235.84,2 days 00:15:00
SHORT,2022-03-17 15:10:00+05:30,2022-03-22 12:40:00+05:30,SHORT,36407.25,35758.3,648.95,19468.5,12.98,1873227.0,1248.82,4 days 21:30:00
LONG,2022-03-22 12:40:00+05:30,2022-03-23 10:20:00+05:30,LONG,35758.3,36410.5,652.2,19566.0,13.04,1892793.0,1261.86,0 days 21:40:00
SHORT,2022-03-23 10:20:00+05:30,2022-03-25 15:20:00+05:30,SHORT,36410.5,35569.1,841.4,25242.0,16.83,1918035.0,1278.69,2 days 05:00:00
LONG,2022-03-25 15:20:00+05:30,2022-03-28 09:20:00+05:30,LONG,35569.1,35179.6,-389.5,-11685.0,-7.79,1906350.0,1270.9,2 days 18:00:00
SHORT,2022-03-28 09:20:00+05:30,2022-03-28 12:15:00+05:30,SHORT,35179.6,35329.2,-149.6,-4488.0,-2.99,1901862.0,1267.91,0 days 02:55:00
LONG,2022-03-28 12:15:00+05:30,2022-03-31 14:05:00+05:30,LONG,35329.2,36312.5,983.3,29499.0,19.67,1931361.0,1287.57,3 days 01:50:00
SHORT,2022-03-31 14:05:00+05:30,2022-04-01 09:35:00+05:30,SHORT,36312.5,36525.3,-212.8,-6384.0,-4.26,1924977.0,1283.32,0 days 19:30:00
LONG,2022-04-01 09:35:00+05:30,2022-04-05 09:35:00+05:30,LONG,36525.3,38276.65,1751.35,52540.5,35.03,1977517.5,1318.34,4 days 00:00:00
SHORT,2022-04-05 09:35:00+05:30,2022-04-05 13:10:00+05:30,SHORT,38276.65,38498.25,-221.6,-6648.0,-4.43,1970869.5,1313.91,0 days 03:35:00
LONG,2022-04-05 13:10:00+05:30,2022-04-05 14:20:00+05:30,LONG,38498.25,38333.1,-165.15,-4954.5,-3.3,1965915.0,1310.61,0 days 01:10:00
SHORT,2022-04-05 14:20:00+05:30,2022-04-06 12:15:00+05:30,SHORT,38333.1,37799.5,533.6,16008.0,10.67,1981923.0,1321.28,0 days 21:55:00
LONG,2022-04-06 12:15:00+05:30,2022-04-06 14:05:00+05:30,LONG,37799.5,37581.3,-218.2,-6546.0,-4.36,1975377.0,1316.92,0 days 01:50:00
SHORT,2022-04-06 14:05:00+05:30,2022-04-07 11:30:00+05:30,SHORT,37581.3,37692.25,-110.95,-3328.5,-2.22,1972048.5,1314.7,0 days 21:25:00
LONG,2022-04-07 11:30:00+05:30,2022-04-07 13:40:00+05:30,LONG,37692.25,37679.4,-12.85,-385.5,-0.26,1971663.0,1314.44,0 days 02:10:00
SHORT,2022-04-07 13:40:00+05:30,2022-04-08 13:35:00+05:30,SHORT,37679.4,37761.4,-82.0,-2460.0,-1.64,1969203.0,1312.8,0 days 23:55:00
LONG,2022-04-08 13:35:00+05:30,2022-04-11 09:15:00+05:30,LONG,37761.4,37582.2,-179.2,-5376.0,-3.58,1963827.0,1309.22,2 days 19:40:00
SHORT,2022-04-11 09:15:00+05:30,2022-04-11 12:55:00+05:30,SHORT,37582.2,37903.4,-321.2,-9636.0,-6.42,1954191.0,1302.79,0 days 03:40:00
LONG,2022-04-11 12:55:00+05:30,2022-04-11 14:55:00+05:30,LONG,37903.4,37660.15,-243.25,-7297.5,-4.86,1946893.5,1297.93,0 days 02:00:00
SHORT,2022-04-11 14:55:00+05:30,2022-04-12 14:00:00+05:30,SHORT,37660.15,37650.85,9.3,279.0,0.19,1947172.5,1298.12,0 days 23:05:00
LONG,2022-04-12 14:00:00+05:30,2022-04-13 12:00:00+05:30,LONG,37650.85,37644.95,-5.9,-177.0,-0.12,1946995.5,1298.0,0 days 22:00:00
SHORT,2022-04-13 12:00:00+05:30,2022-04-18 15:10:00+05:30,SHORT,37644.95,36745.4,899.55,26986.5,17.99,1973982.0,1315.99,5 days 03:10:00
